id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,lat_estacion_origen,long_estacion_origen
74BAEcobici,074 - INSTITUTO  LELOIR,Juana De Ibarbourou & Av Patricias Argentinas,-34.60439,-58.434540000000005
75BAEcobici,075 - Plaza Primero de Mayo,238 Pichincha,-34.612297600000005,-58.39898710000001
76BAEcobici,076 - Ayacucho,"Ayacucho &Peron, Juan Domingo, Tte. General",-34.6074084,-58.3950548
77BAEcobici,109 - ESTACION PUEYRREDON,Bolivia 5071,-34.581135,-58.501487
78BAEcobici,078 - SUIPACHA Y ARROYO,1420 Suipacha,-34.5910737,-58.3799953
79BAEcobici,079 - AZUCENA VILLAFLOR,"Villaflor, Azucena & Dealessi, Pierina",-34.61189,-58.36393
7BAEcobici,007 - OBELISCO,CARLOS PELEGRINI 215,-34.606497999999995,-58.381098
80BAEcobici,080 - DOBLAS,608 Doblas & Valle,-34.624435,-58.43037660000001
81BAEcobici,Ex Balcarce,Balcarce 683,-34.62,-58.37
82BAEcobici,082 - HOSPITAL ITALIANO,394 Rawson & Potosi,-34.6078917,-58.4263947
83BAEcobici,083 - Paraná,1590 Lavalle,-34.603269,-58.3893728
84BAEcobici,084 - Lavalle,Ayacucho 595,-34.602320299999995,-58.3955144
85BAEcobici,085 - AGUERO,"Aguero & Mansilla, Lucio Norberto, General",-34.5948057,-58.4091784
86BAEcobici,086 - SAAVEDRA,1019 Saavedra,-34.6212681,-58.4016808
87BAEcobici,087 - Guayaquil,Guayaquil & Doblas,-34.619845,-58.4314942
88BAEcobici,088 - MISIONES,MISIONES 209,-34.612575,-58.40435600000001
89BAEcobici,089 - Cabello,3082 Cabello,-34.5825475,-58.4056671
8BAEcobici,008 - Congreso,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-34.6094218,-58.3893364
90BAEcobici,090 - GUTIERREZ,"2685 Gutierrez, Juan Maria & Aguero",-34.5866324,-58.39987489999999
91BAEcobici,091 - Pasco,708 Pasco & Chile,-34.6174482,-58.397602
92BAEcobici,092 - Salcedo,2908 Salcedo & Dean Funes,-34.6316444,-58.40533860000001
93BAEcobici,093 - CARLOS CALVO,Sarandi 1010,-34.620798,-58.3944635
94BAEcobici,094 - GÚZMAN,Av Guzman 129 & Leiva,-34.591511,-58.449652
95BAEcobici,095 - ESMERALDA,ESMERALDA 516,-34.60211210000001,-58.37816779999999
96BAEcobici,096 - Carlos Gardel,3302 Guardia Vieja & Aguero,-34.6027814,-58.4116586
98BAEcobici,037- CLAUDIA PÍA BRAUDACCO,Esmeralda y Rivadavia,-34.6081643,-58.3779002
99BAEcobici,099 - Malabia,780 Malabia & Loyola,-34.596096100000004,-58.435408
9BAEcobici,009 - Parque Las Heras,"2300 Diaz, Cnel. Av. & French",-34.585443,-58.407741
